Type,Trans Date,Post Date,Description,Amount,Category,Memo
Sale,01/09/2019,01/10/2019,AMZN Mktp US*MB14O03A0,-8.68,Recreation,
Sale,01/07/2019,01/08/2019,EIG*victorsvacantland.com,-25.07,Miscellaneous,
Sale,01/07/2019,01/08/2019,EIG*victorsvacantland.com,-27.67,Miscellaneous,
Sale,01/04/2019,01/06/2019,WWW.CLICKMAGICK.COM CL,-17.00,Work Related,
Sale,01/04/2019,01/04/2019,FACEBK BCZP7KWEJ2,-10.49,Work Related,
Sale,01/03/2019,01/04/2019,INCORP SERVICES INC,-80.00,Work Related,
Sale,01/03/2019,01/04/2019,DOCUSIGN,-120.00,Work Related,
Sale,01/03/2019,01/03/2019,FACEBK Z8Z47KSEJ2,-400.00,Work Related,
Sale,12/31/2018,01/01/2019,USPS PO 0568480038,-27.20,Miscellaneous,
Sale,12/30/2018,12/30/2018,COMCAST CALIFORNIA,-49.99,Miscellaneous,
Payment,12/30/2018,12/30/2018,Payment Thank You - Web,2500.00,Miscellaneous,
Sale,12/27/2018,12/30/2018,EMAIL PLAYERS,-97.00,Miscellaneous,
Sale,12/22/2018,12/24/2018,AWOL ACADEMY,-39.95,Work Related,
Sale,12/20/2018,12/21/2018,GOOGLE *ADS8265237639,-54.58,Work Related,
Sale,12/17/2018,12/18/2018,CLICKFUNNELS.COM,-97.00,Recreation,
Sale,12/17/2018,12/18/2018,LURNINC LURNINC,-18000.00,Legal & Professional,
Sale,12/16/2018,12/18/2018,BRIDGE THE GAP,-200.00,Legal & Professional,
Sale,12/14/2018,12/14/2018,Audible US,-14.95,Miscellaneous,
Payment,12/12/2018,12/13/2018,Payment Thank You - Web,1014.86,Miscellaneous,
Sale,12/10/2018,12/14/2018,LYFT   *RIDE MON 12PM,-22.30,Travel,
Fee,12/09/2018,12/09/2018,PURCHASE INTEREST CHARGE,-12.37,Miscellaneous,
Sale,12/07/2018,12/09/2018,LYFT   *RIDE FRI 5AM,-31.76,Travel,
Sale,12/04/2018,12/05/2018,FACEBK FGVPWJEEJ2,-367.93,Work Related,
Sale,12/04/2018,12/05/2018,WWW.CLICKMAGICK.COM CL,-17.00,Work Related,
Sale,11/30/2018,11/30/2018,COMCAST CALIFORNIA,-77.15,Miscellaneous,
Sale,11/27/2018,11/29/2018,EMAIL PLAYERS,-37.00,Miscellaneous,
Sale,11/27/2018,11/29/2018,EMAILPLAYERS.COM,-97.00,Miscellaneous,
Sale,11/27/2018,11/28/2018,USPS PO 0568230051,-6.70,Miscellaneous,
Sale,11/27/2018,11/28/2018,LURNINC,-348.00,Legal & Professional,
Sale,11/27/2018,11/28/2018,RUSSELLBRUNSON.COM FH,-19.95,Recreation,
Payment,11/27/2018,11/27/2018,Payment Thank You - Web,2346.98,Miscellaneous,
Sale,11/25/2018,11/26/2018,LYFT   *RIDE SUN 8AM,-14.20,Travel,
Sale,11/25/2018,11/26/2018,MICROSOFT   *BING ADS,-15.56,Work Related,
Sale,11/22/2018,11/25/2018,AWOL ACADEMY,-39.95,Work Related,
Sale,11/20/2018,11/22/2018,AVNGATE*OLD.ANONYMOUS-,-20.00,Recreation,
Sale,11/20/2018,11/21/2018,USZOOM-IPOSTAL1,-9.99,Work Related,
Sale,11/20/2018,11/21/2018,THE UPS STORE 5818,-30.00,Work Related,
Sale,11/20/2018,11/21/2018,GOOGLE *ADS8265237639,-363.54,Work Related,
Sale,11/17/2018,11/18/2018,CLICKFUNNELS.COM,-97.00,Recreation,
Sale,11/14/2018,11/14/2018,Audible US,-14.95,Miscellaneous,
Sale,11/12/2018,11/13/2018,AMZN TradeIn*M86Y632C0,-25.00,Miscellaneous,
Fee,11/09/2018,11/09/2018,PURCHASE INTEREST CHARGE,-10.97,Miscellaneous,
Return,11/08/2018,11/11/2018,WEBINARJAM,189.00,Work Related,
Sale,11/07/2018,11/08/2018,LOWES #00907*,-190.94,Home Repair,
Sale,11/06/2018,11/07/2018,USPS PO 0568057500,-6.70,Miscellaneous,
Sale,11/04/2018,11/06/2018,WEBINARJAM,-189.00,Work Related,
Sale,11/04/2018,11/05/2018,EVERWEBINAR ADD-ON,-297.00,Work Related,
Sale,11/04/2018,11/05/2018,WWW.CLICKMAGICK.COM CL,-17.00,Work Related,
Sale,11/04/2018,11/05/2018,FACEBK 9QDPJJEEJ2,-60.65,Work Related,
Sale,11/04/2018,11/05/2018,BRYAN VAUGHN,-200.00,Work Related,
Refund,11/04/2018,11/05/2018,LATE FEE REVERSAL,39.00,Miscellaneous,
Payment,11/04/2018,11/05/2018,Payment Thank You - Web,39.08,Miscellaneous,
Fee,11/04/2018,11/04/2018,LATE FEE,-39.00,Miscellaneous,
